10, 23, 84, 1
50, 139, 368, 0
7, 82, 176, 0
75, 2312, 71674, 1
75, 11749, 44926, 0
45, 57, 54, 0
35, 409, 4694, 1
127, 273, 2120, 0
55, 333, 3512, 1
138, 497, 6370, 0
9, 1392, 5838, 0
34, 52, 86, 0
105, 251, 2868, 1
66, 151, 1114, 1
16, 13992, 52242, 0
71, 1235, 18718, 1
2, 206, 690, 0
50, 990, 10178, 0
77, 572, 10164, 1
4, 20342, 95596, 0
15, 228, 1306, 0
56, 762, 7806, 0
28, 163, 1640, 1
17, 360, 2300, 0
13, 117, 854, 1
90, 117, 256, 1
29, 527, 1848, 0
114, 120, 44, 0
49, 206, 3898, 1
81, 103, 50, 0
133, 182, 436, 1
28, 52, 96, 0
129, 251, 1768, 0
64, 4388, 99790, 1
32, 354, 4208, 1
32, 49, 116, 1
19, 27, 34, 1
12, 20, 14, 0
16, 40, 116, 1
30, 131, 408, 0
130, 771, 17628, 1
35, 218, 3910, 1
33, 162, 2078, 1
41, 185, 2246, 1
46, 763, 14078, 1
26, 114, 1322, 1
9, 23, 30, 0
24, 12248, 79924, 0
33, 175, 1604, 1
118, 3704, 45774, 0
3, 8, 12, 0
92, 1158, 36228, 1
41, 3746, 58166, 1
116, 142, 196, 1
67, 158, 478, 0
125, 394, 3928, 0
36, 265, 2214, 0
86, 121, 256, 1
142, 1306, 26304, 0
138, 262, 2372, 1
76, 807, 16252, 1
87, 91, 14, 0
61, 85, 192, 1
43, 173, 2840, 1
98, 4200, 87008, 1
73, 79, 16, 0
137, 2106, 84974, 1
85, 299, 3352, 0
37, 174, 1278, 1
59, 371, 3058, 0
114, 191, 672, 0
32, 1545, 12548, 0
37, 102, 468, 0
74, 105, 332, 1
10, 476, 1688, 0
2, 9, 12, 0
59, 3609, 72904, 1
68, 116, 202, 0
18, 124, 494, 0
2, 95, 282, 0
18, 56, 414, 1
78, 203, 874, 0
8, 17, 38, 1
15, 51, 316, 1
7, 18, 64, 1
39, 3521, 96762, 1
79, 293, 4290, 1
75, 1671, 54154, 1
62, 1938, 22600, 0
23, 194, 2100, 1
4, 10, 10, 0
66, 76, 28, 0
121, 526, 12618, 1
47, 898, 4512, 0
52, 4624, 83890, 1
48, 2264, 47568, 1
114, 243, 1696, 0
